Date;Departure Time;Arrival Time;Time Amount;Distance (km);Odometer Kilometer (km);Average consumption (l/100km);Fuel Prices (TRY/l);Cost (TRY);Average Speed (km/h)
11.06.2023;15:26;15:30;0:04;1.0;13233;6.2;24.34;1.5;15
11.06.2023;15:31;15:52;0:21;18.7;13252;3.3;24.34;14.96;54
11.06.2023;16:31;17:09;0:37;39.6;13292;4.1;24.34;39.39;64
11.06.2023;18:25;18:38;0:14;5.7;13337;5.0;24.34;6.98;25
11.06.2023;18:39;18:41;0:02;0.3;13337;;24.34;1.0;9
11.06.2023;19:30;20:46;1:17;80.4;13418;3.9;24.34;76.27;63
11.06.2023;20:49;21:00;0:12;11.4;13429;4.1;24.34;11.46;58
12.06.2023;14:23;14:29;0:06;1.2;13430;6.8;24.34;2.0;13
12.06.2023;15:28;15:28;0:00;0.1;13430;;24.34;0.49;0
12.06.2023;15:31;15:35;0:04;0.9;13431;;24.34;1.99;12
13.06.2023;11:33;11:44;0:11;3.3;13435;7.4;24.34;5.98;18
13.06.2023;11:58;12:04;0:06;1.8;13436;8.0;24.34;3.49;17
13.06.2023;14:00;14:05;0:05;1.4;13438;8.8;24.34;2.99;15
13.06.2023;14:12;14:28;0:16;5.1;13443;7.6;24.34;9.47;19
13.06.2023;14:48;15:00;0:12;4.6;13448;5.3;24.34;5.98;23
13.06.2023;15:10;15:11;0:02;0.2;13448;;24.34;0.5;8
14.06.2023;13:39;13:45;0:06;1.2;13481;5.1;24.34;1.5;12
14.06.2023;13:52;13:56;0:04;2.3;13483;3.6;24.34;1.99;31
14.06.2023;14:02;14:11;0:09;2.7;13486;6.1;24.34;3.99;18
16.06.2023;06:38;08:39;2:02;123.2;14060;4.7;24.34;142.07;61
16.06.2023;10:22;10:27;0:05;2.5;14063;4.9;24.34;2.99;28
18.06.2023;12:01;12:36;0:36;13.0;14080;5.8;24.34;18.45;22
19.06.2023;21:13;21:37;0:24;33.2;14525;3.6;24.34;28.91;85
19.06.2023;11:33;11:37;0:04;1.2;14673;6.8;24.34;1.99;18
19.06.2023;12:23;12:25;0:03;1.0;14674;8.2;24.34;2.0;21
19.06.2023;20:24;20:49;0:25;10.3;14708;5.6;24.34;13.96;25
21.06.2023;19:45;19:51;0:06;1.3;14710;6.3;24.34;2.0;12
22.06.2023;12:36;13:03;0:27;9.0;14721;7.3;24.34;15.95;20
22.06.2023;20:24;20:48;0:24;10.3;14743;5.0;24.34;12.46;26
23.06.2023;07:25;07:35;0:11;4.2;14747;5.4;24.34;5.49;23
23.06.2023;12:17;12:37;0:20;5.2;14754;7.9;24.34;9.97;15
23.06.2023;12:38;12:43;0:06;2.5;14756;5.7;24.34;3.49;26
23.06.2023;12:46;12:51;0:06;1.2;14757;10.2;24.34;2.99;13
