Date,Time,BPM
2020-05-15,13:25:19,73
2020-05-15,13:25:20,79
2020-05-15,13:25:21,73
2020-05-15,13:25:22,73
2020-05-15,13:25:24,76
2020-05-15,13:25:25,76
2020-05-15,13:25:26,76
2020-05-15,13:25:26,81
2020-05-15,13:25:27,82
2020-05-15,13:25:28,87
2020-05-15,13:25:28,86
2020-05-15,13:25:29,86
2020-05-15,13:25:30,83
2020-05-15,13:25:31,77
2020-05-25,00:59:07,71
2020-05-25,00:59:08,70
2020-05-25,00:59:09,66
2020-05-25,00:59:10,62
2020-05-25,00:59:14,68
2020-05-25,00:59:15,64
2020-05-25,00:59:16,62
2020-05-25,00:59:17,72
2020-05-25,00:59:31,69
2020-05-25,00:59:32,65
2020-05-25,00:59:32,65
2020-05-25,00:59:35,64
2020-05-25,00:59:36,67
2020-05-25,00:59:37,60
2020-05-25,00:59:38,66
2020-05-25,00:59:41,60
2020-05-25,00:59:42,64
2020-05-25,00:59:43,64
2020-05-25,00:59:44,58
2020-05-25,00:59:45,66
2020-05-25,00:59:45,65
2020-05-25,00:59:47,60
2020-05-25,00:59:47,68
2020-05-25,00:59:50,61
2020-05-25,00:59:51,67
2020-05-25,00:59:52,62
2020-05-25,00:59:53,62
2020-05-25,00:59:54,68
2020-05-25,00:59:55,61
2020-05-25,00:59:56,61
2020-05-25,00:59:57,67
2020-05-25,00:59:58,65
2020-05-25,00:59:59,58
2020-05-25,01:00:00,58
2020-05-25,01:00:01,66
2020-05-25,01:00:02,63
2020-05-25,01:00:03,59
2020-05-25,01:00:04,68
2020-06-14,17:53:49,86
2020-06-14,17:53:55,72
2020-06-14,17:53:56,66
2020-06-14,17:53:57,80
2020-06-14,17:53:57,76
2020-06-14,17:53:58,74
2020-06-14,17:53:59,82
2020-06-14,17:54:00,78
2020-06-14,17:54:01,78
2020-06-14,17:54:01,76
2020-06-14,17:54:02,76
2020-06-14,17:54:03,77
2020-06-14,17:54:04,66
2020-06-14,17:54:05,69
2020-06-14,17:54:05,75
2020-06-14,17:54:06,75
2020-06-14,17:54:07,78
2020-06-14,17:54:08,85
2020-06-14,17:54:08,80
2020-06-14,17:54:09,76
2020-06-14,17:54:10,75
2020-06-14,17:54:11,78
2020-06-15,18:32:43,99
2020-06-15,18:32:44,99
2020-06-15,18:32:44,97
2020-06-15,18:32:45,95
2020-06-15,18:32:45,98
2020-06-15,18:32:46,97
2020-06-15,18:32:47,96
2020-06-15,18:32:47,95
2020-06-15,18:32:48,95
2020-06-15,18:32:49,98
2020-06-15,18:32:49,97
2020-06-15,18:32:50,97
2020-06-15,18:32:55,97
2020-06-15,18:32:55,97
2020-06-15,18:32:56,95
2020-06-15,18:32:57,95
2020-06-15,18:32:57,96
2020-06-15,18:32:58,96
2020-06-15,18:32:59,96
2020-06-15,18:32:59,94
2020-06-15,18:33:00,97
2020-06-15,18:33:00,97
2020-06-15,18:33:01,96
2020-06-15,18:33:02,95
2020-06-15,18:33:02,97
2020-06-15,18:33:03,98
2020-06-15,18:33:04,97
2020-06-15,18:33:04,97
2020-06-15,18:33:05,96
2020-06-15,18:33:05,98
2020-06-15,18:33:06,97
2020-06-15,18:33:07,97
2020-06-15,18:33:07,95
2020-06-15,18:33:08,97
2020-06-15,18:33:08,97
2020-06-15,18:33:09,97
2020-06-15,18:33:10,95
2020-06-15,18:33:10,94
2020-06-15,18:33:11,94
2020-06-15,18:33:12,97
2020-06-15,18:33:12,97
2020-06-15,18:33:13,95
2020-06-15,18:33:14,95
2020-06-15,18:33:14,94
2020-06-15,18:33:15,96
2020-06-15,18:33:15,97
2020-06-15,18:33:16,97
2020-06-15,18:33:17,96
2020-06-15,18:33:17,94
2020-06-15,18:33:18,96
2020-06-15,18:33:19,98
2020-06-15,18:33:19,97
2020-06-15,18:33:20,96
2020-06-21,18:44:47,73
2020-06-21,18:44:48,73
2020-06-21,18:44:49,60
2020-06-21,18:44:50,61
2020-06-21,18:44:54,71
2020-06-21,18:44:55,81
2020-06-21,18:44:58,66
2020-06-21,18:44:59,80
2020-06-21,18:45:00,79
2020-06-21,18:45:01,81
2020-06-21,18:45:01,83
2020-06-21,18:45:02,69
2020-06-21,18:45:03,66
2020-06-21,18:45:04,75
2020-06-21,18:45:05,79
2020-06-21,18:45:05,72
2020-06-21,18:45:06,69
2020-06-21,18:45:07,75
2020-06-21,18:45:08,71
2020-06-21,18:45:11,70
2020-06-21,18:45:12,60
2020-06-21,18:45:13,64
2020-06-21,18:45:15,76
2020-06-21,18:45:16,68
2020-06-21,18:45:17,77
2020-06-21,18:45:18,73
2020-06-21,18:45:19,55
2020-06-21,18:45:20,55
2020-06-21,18:45:21,71
2020-06-21,18:45:21,77
2020-06-21,18:45:22,72
2020-06-21,18:45:23,68
2020-06-21,18:45:24,72
2020-06-21,18:45:25,64
2020-06-21,18:45:26,66
2020-06-21,18:45:27,70
2020-06-21,18:45:29,72
2020-06-21,18:45:30,60
2020-06-21,18:45:31,65
2020-06-21,18:45:32,68
2020-06-21,18:45:33,80
2020-06-24,22:44:19,73
2020-06-24,22:44:20,79
2020-06-24,22:44:21,78
2020-06-24,22:44:22,75
2020-06-24,22:44:23,72
2020-06-24,22:44:23,78
2020-06-24,22:44:24,74
2020-06-24,22:44:25,69
2020-06-24,22:44:26,77
2020-06-24,22:44:27,75
2020-06-24,22:44:27,71
2020-06-24,22:44:28,75
2020-06-24,22:44:29,77
2020-06-24,22:44:30,72
2020-06-24,22:44:31,76
2020-06-24,22:44:32,73
2020-06-24,22:44:32,67
2020-06-24,22:44:33,71
2020-06-24,22:44:34,72
2020-06-24,22:44:35,73
2020-06-24,22:44:39,74
2020-06-24,22:44:42,82
2020-06-24,22:44:43,76
2020-06-24,22:44:43,75
2020-06-24,22:44:44,76
2020-06-24,22:44:45,70
2020-06-24,22:44:56,65
2020-06-24,22:44:58,70
2020-06-24,22:44:59,73
2020-06-24,22:45:00,75
2020-06-24,22:45:01,70
2020-06-24,22:45:01,75
2020-06-24,22:45:02,74
2020-06-24,22:45:03,71
2020-06-24,22:45:04,77
2020-06-24,22:45:05,75
2020-06-24,22:45:06,71
2020-06-24,22:45:06,70
2020-06-24,22:45:07,70
2020-06-24,22:45:08,63
2020-06-24,22:45:09,65
2020-06-24,22:45:10,73
2020-06-24,22:45:11,72
2020-06-24,22:45:12,71
2020-06-24,22:45:12,77
2020-06-24,22:45:13,72
2020-06-24,22:45:14,69
2020-06-24,22:45:15,74
2020-06-24,22:45:16,70
2020-06-25,17:58:03,88
2020-06-25,17:58:06,78
2020-06-25,17:58:06,83
